"REF_DATE","GEO","DGUID","Income concept","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.384","","","","3"
"1976","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.330","","","","3"
"1976","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.300","","","","3"
"1976","Atlantic provinces","2016A00011","Adjusted market income","Number","223","units","0","v96439639","2.1","0.408","","","","3"
"1976","Atlantic provinces","2016A00011","Adjusted total income","Number","223","units","0","v96439640","2.2","0.310","","","","3"
"1976","Atlantic provinces","2016A00011","Adjusted after-tax income","Number","223","units","0","v96439641","2.3","0.280","","","","3"
"1976","Newfoundland and Labrador","2016A000210","Adjusted market income","Number","223","units","0","v96439642","3.1","0.454","","","","3"
"1976","Newfoundland and Labrador","2016A000210","Adjusted total income","Number","223","units","0","v96439643","3.2","0.337","","","","3"
"1976","Newfoundland and Labrador","2016A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.308","","","","3"
"1976","Prince Edward Island","2016A000211","Adjusted market income","Number","223","units","0","v96439645","4.1","0.445","","","","3"
"1976","Prince Edward Island","2016A000211","Adjusted total income","Number","223","units","0","v96439646","4.2","0.345","","","","3"
"1976","Prince Edward Island","2016A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.314","","","","3"
"1976","Nova Scotia","2016A000212","Adjusted market income","Number","223","units","0","v96439648","5.1","0.373","","","","3"
"1976","Nova Scotia","2016A000212","Adjusted total income","Number","223","units","0","v96439649","5.2","0.292","","","","3"
"1976","Nova Scotia","2016A000212","Adjusted after-tax income","Number","223","units","0","v96439650","5.3","0.261","","","","3"
"1976","New Brunswick","2016A000213","Adjusted market income","Number","223","units","0","v96439651","6.1","0.402","","","","3"
"1976","New Brunswick","2016A000213","Adjusted total income","Number","223","units","0","v96439652","6.2","0.299","","","","3"
"1976","New Brunswick","2016A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.270","","","","3"
"1976","Quebec","2016A000224","Adjusted market income","Number","223","units","0","v96439654","7.1","0.387","","","","3"
"1976","Quebec","2016A000224","Adjusted total income","Number","223","units","0","v96439655","7.2","0.325","","","","3"
"1976","Quebec","2016A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.295","","","","3"
"1976","Ontario","2016A000235","Adjusted market income","Number","223","units","0","v96439657","8.1","0.368","","","","3"
"1976","Ontario","2016A000235","Adjusted total income","Number","223","units","0","v96439658","8.2","0.325","","","","3"
"1976","Ontario","2016A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.294","","","","3"
"1976","Prairie provinces","2016A00014","Adjusted market income","Number","223","units","0","v96439660","9.1","0.380","","","","3"
"1976","Prairie provinces","2016A00014","Adjusted total income","Number","223","units","0","v96439661","9.2","0.335","","","","3"
"1976","Prairie provinces","2016A00014","Adjusted after-tax income","Number","223","units","0","v96439662","9.3","0.311","","","","3"
"1976","Manitoba","2016A000246","Adjusted market income","Number","223","units","0","v96439663","10.1","0.375","","","","3"
"1976","Manitoba","2016A000246","Adjusted total income","Number","223","units","0","v96439664","10.2","0.321","","","","3"
"1976","Manitoba","2016A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.294","","","","3"
"1976","Saskatchewan","2016A000247","Adjusted market income","Number","223","units","0","v96439666","11.1","0.393","","","","3"
"1976","Saskatchewan","2016A000247","Adjusted total income","Number","223","units","0","v96439667","11.2","0.340","","","","3"
"1976","Saskatchewan","2016A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.312","","","","3"
"1976","Alberta","2016A000248","Adjusted market income","Number","223","units","0","v96439669","12.1","0.371","","","","3"
"1976","Alberta","2016A000248","Adjusted total income","Number","223","units","0","v96439670","12.2","0.333","","","","3"
"1976","Alberta","2016A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.311","","","","3"
"1976","British Columbia","2016A000259","Adjusted market income","Number","223","units","0","v96439672","13.1","0.369","","","","3"
"1976","British Columbia","2016A000259","Adjusted total income","Number","223","units","0","v96439673","13.2","0.325","","","","3"
"1976","British Columbia","2016A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.297","","","","3"
"1977","Canada","2016A000011124","Adjusted market income","Number","223","units","0","v96439636","1.1","0.368","","","","3"
"1977","Canada","2016A000011124","Adjusted total income","Number","223","units","0","v96439637","1.2","0.315","","","","3"
"1977","Canada","2016A000011124","Adjusted after-tax income","Number","223","units","0","v96439638","1.3","0.286","","","","3"
"1977","Atlantic provinces","2016A00011","Adjusted market income","Number","223","units","0","v96439639","2.1","0.411","","","","3"
"1977","Atlantic provinces","2016A00011","Adjusted total income","Number","223","units","0","v96439640","2.2","0.313","","","","3"
"1977","Atlantic provinces","2016A00011","Adjusted after-tax income","Number","223","units","0","v96439641","2.3","0.282","","","","3"
"1977","Newfoundland and Labrador","2016A000210","Adjusted market income","Number","223","units","0","v96439642","3.1","0.423","","","","3"
"1977","Newfoundland and Labrador","2016A000210","Adjusted total income","Number","223","units","0","v96439643","3.2","0.308","","","","3"
"1977","Newfoundland and Labrador","2016A000210","Adjusted after-tax income","Number","223","units","0","v96439644","3.3","0.276","","","","3"
"1977","Prince Edward Island","2016A000211","Adjusted market income","Number","223","units","0","v96439645","4.1","0.416","","","","3"
"1977","Prince Edward Island","2016A000211","Adjusted total income","Number","223","units","0","v96439646","4.2","0.318","","","","3"
"1977","Prince Edward Island","2016A000211","Adjusted after-tax income","Number","223","units","0","v96439647","4.3","0.288","","","","3"
